Datum;Altersklasse;Geschlecht;Anzahl_Personen
2020-03-14;10 - 19;MA;1
2020-03-14;20 - 29;FE;4
2020-03-14;20 - 29;MA;1
2020-03-14;30 - 39;MA;1
2020-03-14;40 - 49;FE;1
2020-03-14;40 - 49;MA;4
2020-03-14;50 - 59;FE;2
2020-03-14;50 - 59;MA;3
2020-03-14;60 - 69;MA;1
2020-03-14;70 - 79;MA;4
2020-03-14;80 - 89;FE;1
2020-03-15;> 89;FE;2
2020-03-15;20 - 29;FE;1
2020-03-15;40 - 49;FE;3
2020-03-15;40 - 49;MA;4
2020-03-15;50 - 59;MA;1
2020-03-15;70 - 79;FE;2
2020-03-15;70 - 79;MA;1
2020-03-16;> 89;FE;1
2020-03-16;20 - 29;FE;1
2020-03-16;20 - 29;MA;2
2020-03-16;30 - 39;FE;3
2020-03-16;30 - 39;MA;1
2020-03-16;40 - 49;FE;1
2020-03-16;40 - 49;MA;3
2020-03-16;50 - 59;FE;4
2020-03-16;50 - 59;MA;1
2020-03-16;60 - 69;FE;1
2020-03-16;60 - 69;MA;1
2020-03-17;20 - 29;FE;3
2020-03-17;30 - 39;MA;3
2020-03-17;40 - 49;MA;2
2020-03-17;50 - 59;FE;4
2020-03-17;50 - 59;MA;2
2020-03-17;60 - 69;FE;2
2020-03-17;60 - 69;MA;2
2020-03-17;70 - 79;MA;3
2020-03-18;> 89;FE;3
2020-03-18;> 89;MA;1
2020-03-18;20 - 29;FE;6
2020-03-18;20 - 29;MA;4
2020-03-18;30 - 39;FE;4
2020-03-18;30 - 39;MA;6
2020-03-18;40 - 49;FE;4
2020-03-18;40 - 49;MA;1
2020-03-18;50 - 59;FE;7
2020-03-18;50 - 59;MA;4
2020-03-18;60 - 69;FE;1
2020-03-18;60 - 69;MA;1
2020-03-18;70 - 79;FE;1
2020-03-18;70 - 79;MA;3
2020-03-18;80 - 89;FE;2
2020-03-18;80 - 89;MA;1
2020-03-19;> 89;FE;2
2020-03-19;> 89;MA;1
2020-03-19;10 - 19;FE;1
2020-03-19;10 - 19;MA;2
2020-03-19;20 - 29;FE;2
2020-03-19;20 - 29;MA;2
2020-03-19;30 - 39;FE;5
2020-03-19;30 - 39;MA;3
2020-03-19;40 - 49;FE;1
2020-03-19;40 - 49;MA;2
2020-03-19;50 - 59;FE;5
2020-03-19;50 - 59;MA;4
2020-03-19;60 - 69;FE;1
2020-03-19;60 - 69;MA;1
2020-03-19;80 - 89;FE;1
2020-03-19;80 - 89;MA;1
2020-03-20;> 89;FE;1
2020-03-20;10 - 19;FE;1
2020-03-20;20 - 29;FE;5
2020-03-20;20 - 29;MA;7
2020-03-20;30 - 39;FE;2
2020-03-20;30 - 39;MA;5
2020-03-20;40 - 49;FE;3
2020-03-20;40 - 49;MA;4
2020-03-20;50 - 59;FE;1
2020-03-20;50 - 59;MA;4
2020-03-20;60 - 69;FE;1
2020-03-20;60 - 69;MA;2
2020-03-20;70 - 79;FE;1
2020-03-20;70 - 79;MA;1
2020-03-20;80 - 89;FE;3
2020-03-20;80 - 89;MA;1
2020-03-21;> 89;MA;2
2020-03-21;10 - 19;MA;1
2020-03-21;20 - 29;FE;3
2020-03-21;20 - 29;MA;4
2020-03-21;30 - 39;FE;4
2020-03-21;30 - 39;MA;4
2020-03-21;40 - 49;FE;4
2020-03-21;50 - 59;FE;5
2020-03-21;50 - 59;MA;10
2020-03-21;60 - 69;FE;3
2020-03-21;60 - 69;MA;3
2020-03-21;70 - 79;FE;1
2020-03-21;70 - 79;MA;1
2020-03-21;80 - 89;FE;4
2020-03-22;> 89;FE;3
2020-03-22;20 - 29;FE;3
2020-03-22;20 - 29;MA;2
2020-03-22;30 - 39;FE;4
2020-03-22;30 - 39;MA;2
2020-03-22;40 - 49;FE;5
2020-03-22;40 - 49;MA;3
2020-03-22;50 - 59;FE;3
2020-03-22;50 - 59;MA;3
2020-03-22;60 - 69;FE;2
2020-03-22;60 - 69;MA;3
2020-03-22;70 - 79;FE;1
2020-03-22;70 - 79;MA;2
2020-03-22;80 - 89;FE;2
2020-03-22;80 - 89;MA;2
2020-03-23;> 89;FE;1
2020-03-23;20 - 29;FE;8
2020-03-23;20 - 29;MA;2
2020-03-23;30 - 39;FE;3
2020-03-23;30 - 39;MA;3
2020-03-23;40 - 49;FE;2
2020-03-23;40 - 49;MA;3
2020-03-23;50 - 59;FE;1
2020-03-23;50 - 59;MA;3
2020-03-23;60 - 69;FE;1
2020-03-23;60 - 69;MA;3
2020-03-23;80 - 89;MA;1
2020-03-24;20 - 29;FE;5
2020-03-24;20 - 29;MA;1
2020-03-24;30 - 39;FE;2
2020-03-24;30 - 39;MA;9
2020-03-24;40 - 49;FE;6
2020-03-24;40 - 49;MA;3
2020-03-24;50 - 59;FE;2
2020-03-24;50 - 59;MA;7
2020-03-24;60 - 69;FE;1
2020-03-24;60 - 69;MA;7
2020-03-24;70 - 79;FE;4
2020-03-24;70 - 79;MA;4
2020-03-24;80 - 89;FE;4
2020-03-24;80 - 89;MA;1
2020-03-25;> 89;FE;2
2020-03-25;> 89;MA;1
2020-03-25;20 - 29;FE;2
2020-03-25;20 - 29;MA;5
2020-03-25;30 - 39;FE;5
2020-03-25;30 - 39;MA;1
2020-03-25;40 - 49;FE;3
2020-03-25;40 - 49;MA;2
2020-03-25;50 - 59;FE;4
2020-03-25;50 - 59;MA;5
2020-03-25;60 - 69;FE;2
2020-03-25;60 - 69;MA;4
2020-03-25;70 - 79;FE;1
2020-03-25;70 - 79;MA;3
2020-03-25;80 - 89;FE;3
2020-03-25;80 - 89;MA;1
2020-03-26;> 89;FE;1
2020-03-26;10 - 19;FE;1
2020-03-26;10 - 19;MA;1
2020-03-26;20 - 29;FE;1
2020-03-26;20 - 29;MA;1
2020-03-26;30 - 39;FE;4
2020-03-26;30 - 39;MA;6
2020-03-26;40 - 49;FE;3
2020-03-26;40 - 49;MA;2
2020-03-26;50 - 59;FE;5
2020-03-26;50 - 59;MA;1
2020-03-26;60 - 69;FE;3
2020-03-26;60 - 69;MA;1
2020-03-26;80 - 89;FE;1
2020-03-26;80 - 89;MA;1
2020-03-27;> 89;FE;1
2020-03-27;10 - 19;FE;1
2020-03-27;20 - 29;FE;3
2020-03-27;20 - 29;MA;2
2020-03-27;30 - 39;FE;4
2020-03-27;40 - 49;FE;2
2020-03-27;40 - 49;MA;2
2020-03-27;50 - 59;FE;1
2020-03-27;50 - 59;MA;3
2020-03-27;60 - 69;FE;3
2020-03-27;60 - 69;MA;6
2020-03-27;70 - 79;FE;3
2020-03-27;70 - 79;MA;3
2020-03-27;80 - 89;FE;1
2020-03-27;80 - 89;MA;2
2020-03-28;20 - 29;MA;1
2020-03-28;30 - 39;FE;2
2020-03-28;30 - 39;MA;5
2020-03-28;40 - 49;FE;3
2020-03-28;40 - 49;MA;2
2020-03-28;50 - 59;FE;6
2020-03-28;50 - 59;MA;3
2020-03-28;60 - 69;FE;1
2020-03-28;60 - 69;MA;3
2020-03-28;70 - 79;FE;2
2020-03-28;70 - 79;MA;1
2020-03-28;80 - 89;FE;2
2020-03-28;80 - 89;MA;2
2020-03-29;20 - 29;MA;1
2020-03-29;30 - 39;FE;3
2020-03-29;30 - 39;MA;1
2020-03-29;40 - 49;FE;1
2020-03-29;40 - 49;MA;3
2020-03-29;50 - 59;FE;2
2020-03-29;50 - 59;MA;2
2020-03-29;60 - 69;FE;1
2020-03-29;60 - 69;MA;1
2020-03-29;70 - 79;MA;1
2020-03-29;80 - 89;FE;2
2020-03-29;80 - 89;MA;2
2020-03-30;> 89;MA;1
2020-03-30;10 - 19;FE;1
2020-03-30;10 - 19;MA;1
2020-03-30;20 - 29;FE;2
2020-03-30;20 - 29;MA;2
2020-03-30;30 - 39;FE;2
2020-03-30;30 - 39;MA;2
2020-03-30;40 - 49;FE;2
2020-03-30;50 - 59;FE;5
2020-03-30;50 - 59;MA;2
2020-03-30;60 - 69;FE;3
2020-03-30;60 - 69;MA;1
2020-03-30;70 - 79;FE;3
2020-03-30;70 - 79;MA;4
2020-03-30;80 - 89;FE;1
2020-03-31;> 89;FE;1
2020-03-31;20 - 29;FE;2
2020-03-31;20 - 29;MA;5
2020-03-31;30 - 39;FE;2
2020-03-31;40 - 49;MA;1
2020-03-31;50 - 59;FE;2
2020-03-31;60 - 69;FE;2
2020-03-31;60 - 69;MA;2
2020-03-31;70 - 79;FE;2
2020-03-31;70 - 79;MA;1
2020-03-31;80 - 89;FE;1
2020-03-31;80 - 89;MA;2
2020-04-01;20 - 29;MA;2
2020-04-01;30 - 39;FE;1
2020-04-01;40 - 49;FE;1
2020-04-01;40 - 49;MA;3
2020-04-01;50 - 59;FE;3
2020-04-01;50 - 59;MA;1
2020-04-01;60 - 69;FE;5
2020-04-01;60 - 69;MA;2
2020-04-01;70 - 79;FE;3
2020-04-01;70 - 79;MA;2
2020-04-01;80 - 89;FE;1
2020-04-01;80 - 89;MA;2
2020-04-02;10 - 19;MA;1
2020-04-02;20 - 29;FE;1
2020-04-02;20 - 29;MA;1
2020-04-02;30 - 39;FE;4
2020-04-02;30 - 39;MA;3
2020-04-02;40 - 49;FE;4
2020-04-02;40 - 49;MA;3
2020-04-02;50 - 59;FE;4
2020-04-02;50 - 59;MA;5
2020-04-02;60 - 69;MA;3
2020-04-02;80 - 89;FE;1
2020-04-02;80 - 89;MA;1
2020-04-03;20 - 29;FE;4
2020-04-03;30 - 39;FE;1
2020-04-03;30 - 39;MA;4
2020-04-03;40 - 49;FE;2
2020-04-03;40 - 49;MA;1
2020-04-03;50 - 59;FE;2
2020-04-03;50 - 59;MA;4
2020-04-03;60 - 69;MA;1
2020-04-03;70 - 79;FE;1
2020-04-03;70 - 79;MA;1
2020-04-04;> 89;FE;1
2020-04-04;20 - 29;MA;2
2020-04-04;30 - 39;FE;2
2020-04-04;30 - 39;MA;2
2020-04-04;50 - 59;MA;3
2020-04-04;60 - 69;FE;1
2020-04-05;00 - 09;MA;1
2020-04-05;10 - 19;MA;1
2020-04-05;20 - 29;FE;1
2020-04-05;20 - 29;MA;4
2020-04-05;30 - 39;FE;1
2020-04-05;30 - 39;MA;2
2020-04-05;40 - 49;MA;1
2020-04-05;50 - 59;FE;1
2020-04-05;50 - 59;MA;2
2020-04-05;70 - 79;FE;1
2020-04-05;70 - 79;MA;1
2020-04-05;80 - 89;FE;2
2020-04-05;80 - 89;MA;1
2020-04-06;10 - 19;MA;1
2020-04-06;20 - 29;FE;2
2020-04-06;40 - 49;FE;2
2020-04-06;50 - 59;FE;3
2020-04-06;50 - 59;MA;1
2020-04-06;60 - 69;MA;2
2020-04-06;70 - 79;MA;1
2020-04-06;80 - 89;FE;1
2020-04-06;80 - 89;MA;1
2020-04-07;20 - 29;FE;1
2020-04-07;20 - 29;MA;2
2020-04-07;30 - 39;FE;1
2020-04-07;40 - 49;FE;1
2020-04-07;50 - 59;FE;1
2020-04-07;50 - 59;MA;1
2020-04-07;70 - 79;FE;1
2020-04-07;70 - 79;MA;1
2020-04-07;80 - 89;FE;1
2020-04-08;> 89;MA;1
2020-04-08;10 - 19;FE;3
2020-04-08;20 - 29;FE;1
2020-04-08;20 - 29;MA;1
2020-04-08;30 - 39;MA;2
2020-04-08;40 - 49;FE;1
2020-04-08;50 - 59;FE;1
2020-04-08;60 - 69;MA;2
2020-04-08;70 - 79;FE;1
2020-04-08;70 - 79;MA;1
2020-04-08;80 - 89;MA;1
2020-04-09;> 89;FE;1
2020-04-09;20 - 29;MA;1
2020-04-09;30 - 39;FE;2
2020-04-09;40 - 49;MA;2
2020-04-09;50 - 59;FE;2
2020-04-09;50 - 59;MA;2
2020-04-09;60 - 69;FE;1
2020-04-09;70 - 79;FE;2
2020-04-09;70 - 79;MA;2
2020-04-09;80 - 89;FE;1
2020-04-10;> 89;MA;1
2020-04-10;40 - 49;MA;1
2020-04-10;50 - 59;FE;1
2020-04-10;50 - 59;MA;1
2020-04-10;70 - 79;MA;1
2020-04-11;20 - 29;FE;1
2020-04-11;30 - 39;MA;1
2020-04-11;50 - 59;FE;1
2020-04-11;50 - 59;MA;1
2020-04-11;60 - 69;FE;1
2020-04-11;60 - 69;MA;1
2020-04-12;> 89;FE;1
2020-04-12;20 - 29;FE;2
2020-04-12;20 - 29;MA;1
2020-04-12;40 - 49;FE;1
2020-04-12;70 - 79;MA;1
2020-04-12;80 - 89;FE;3
2020-04-12;80 - 89;MA;1
2020-04-13;10 - 19;MA;1
2020-04-13;20 - 29;MA;1
2020-04-13;30 - 39;MA;1
2020-04-13;80 - 89;FE;2
2020-04-14;> 89;FE;1
2020-04-14;40 - 49;FE;1
2020-04-14;40 - 49;MA;1
2020-04-14;50 - 59;FE;1
2020-04-14;60 - 69;FE;2
2020-04-14;70 - 79;FE;1
2020-04-14;80 - 89;FE;2
2020-04-14;80 - 89;MA;1
2020-04-15;50 - 59;FE;3
2020-04-15;80 - 89;MA;1
2020-04-16;30 - 39;FE;1
2020-04-16;30 - 39;MA;1
2020-04-16;40 - 49;MA;1
2020-04-16;50 - 59;FE;2
2020-04-16;50 - 59;MA;1
2020-04-16;70 - 79;FE;1
2020-04-16;70 - 79;MA;1
2020-04-16;80 - 89;MA;1
2020-04-17;> 89;FE;1
2020-04-17;20 - 29;FE;2
2020-04-17;20 - 29;MA;1
2020-04-17;30 - 39;MA;1
2020-04-17;50 - 59;FE;2
2020-04-18;> 89;FE;1
2020-04-18;> 89;MA;1
2020-04-18;70 - 79;FE;1
2020-04-18;70 - 79;MA;1
2020-04-19;20 - 29;FE;2
2020-04-20;> 89;FE;1
2020-04-21;20 - 29;MA;1
2020-04-22;30 - 39;FE;1
2020-04-22;40 - 49;MA;1
2020-04-22;70 - 79;FE;1
2020-04-23;20 - 29;FE;1
2020-04-23;40 - 49;FE;1
2020-04-23;60 - 69;MA;1
2020-04-23;70 - 79;FE;1
2020-04-24;20 - 29;FE;1
2020-04-24;20 - 29;MA;1
2020-04-25;50 - 59;FE;1
2020-04-25;60 - 69;MA;1
2020-04-26;> 89;FE;1
2020-04-27;20 - 29;MA;1
2020-04-27;40 - 49;FE;1
2020-04-28;00 - 09;FE;1
2020-04-28;10 - 19;MA;1
2020-04-28;40 - 49;FE;1
2020-04-28;80 - 89;MA;1
2020-04-29;20 - 29;MA;1
2020-04-29;30 - 39;MA;1
2020-04-29;80 - 89;FE;1
2020-04-30;20 - 29;FE;1
2020-04-30;80 - 89;FE;1
2020-05-01;30 - 39;MA;1
2020-05-01;40 - 49;FE;1
2020-05-01;60 - 69;MA;1
2020-05-01;80 - 89;FE;1
2020-05-03;30 - 39;FE;1
2020-05-03;40 - 49;MA;1
2020-05-04;30 - 39;MA;1
2020-05-04;40 - 49;FE;2
2020-05-05;20 - 29;MA;1
2020-05-06;40 - 49;FE;1
2020-05-06;60 - 69;FE;1
2020-05-06;80 - 89;FE;1
2020-05-07;20 - 29;MA;1
2020-05-08;40 - 49;MA;1
2020-05-10;30 - 39;FE;1
2020-05-10;50 - 59;FE;1
2020-05-13;30 - 39;FE;1
2020-05-14;10 - 19;FE;1
2020-05-14;40 - 49;MA;1
2020-05-15;70 - 79;FE;1
2020-05-18;30 - 39;MA;1
2020-05-19;70 - 79;FE;1
2020-06-03;10 - 19;MA;1
2020-06-03;20 - 29;FE;1
2020-06-04;20 - 29;FE;1
2020-06-04;30 - 39;MA;1
2020-06-08;30 - 39;FE;1
2020-06-16;20 - 29;MA;1
2020-06-18;20 - 29;FE;1
2020-07-02;30 - 39;MA;2
2020-07-03;40 - 49;FE;1
2020-07-03;60 - 69;MA;1
2020-07-04;50 - 59;FE;1
2020-07-06;20 - 29;FE;1
2020-07-06;30 - 39;MA;1
2020-07-06;60 - 69;MA;1
2020-07-07;20 - 29;FE;1
2020-07-07;20 - 29;MA;2
2020-07-07;70 - 79;MA;1
2020-07-08;10 - 19;MA;1
2020-07-08;30 - 39;MA;1
2020-07-08;40 - 49;MA;1
2020-07-09;30 - 39;FE;2
2020-07-09;30 - 39;MA;1
2020-07-10;20 - 29;MA;1
2020-07-10;30 - 39;MA;1
2020-07-11;00 - 09;FE;1
2020-07-11;30 - 39;FE;1
2020-07-12;70 - 79;FE;1
2020-07-13;20 - 29;FE;1
2020-07-13;30 - 39;MA;1
2020-07-13;40 - 49;FE;1
2020-07-13;60 - 69;FE;1
2020-07-13;60 - 69;MA;1
2020-07-14;40 - 49;FE;1
2020-07-14;50 - 59;MA;1
2020-07-14;60 - 69;FE;1
2020-07-15;> 89;FE;1
2020-07-15;40 - 49;MA;1
2020-07-16;20 - 29;MA;1
2020-07-16;30 - 39;MA;1
2020-07-16;40 - 49;FE;1
2020-07-17;00 - 09;FE;1
2020-07-17;60 - 69;MA;1
2020-07-17;70 - 79;MA;1
2020-07-19;80 - 89;FE;1
2020-07-20;40 - 49;MA;1
2020-07-20;60 - 69;MA;1
2020-07-21;30 - 39;FE;1
2020-07-21;70 - 79;FE;1
2020-07-22;10 - 19;FE;1
2020-07-22;80 - 89;MA;1
2020-07-24;20 - 29;FE;1
2020-07-24;70 - 79;FE;1
2020-07-26;00 - 09;MA;1
2020-07-26;80 - 89;FE;1
2020-07-27;> 89;FE;4
2020-07-27;30 - 39;MA;1
2020-07-27;60 - 69;FE;1
2020-07-27;70 - 79;MA;1
2020-07-27;80 - 89;FE;1
2020-07-27;80 - 89;MA;1
2020-07-28;> 89;FE;1
2020-07-28;10 - 19;FE;1
2020-07-28;80 - 89;FE;1
2020-07-29;20 - 29;MA;1
2020-07-29;40 - 49;MA;1
2020-07-29;60 - 69;MA;1
2020-07-30;20 - 29;MA;1
2020-07-30;50 - 59;MA;1
2020-07-31;10 - 19;FE;1
2020-07-31;20 - 29;FE;2
2020-07-31;20 - 29;MA;2
2020-07-31;30 - 39;FE;1
2020-07-31;40 - 49;FE;1
2020-07-31;40 - 49;MA;1
2020-07-31;50 - 59;MA;1
2020-07-31;70 - 79;FE;1
2020-08-01;> 89;FE;1
2020-08-01;20 - 29;FE;1
2020-08-01;20 - 29;MA;1
2020-08-01;40 - 49;MA;1
2020-08-01;50 - 59;MA;1
2020-08-01;80 - 89;MA;1
2020-08-02;20 - 29;MA;1
2020-08-03;00 - 09;FE;1
2020-08-03;10 - 19;FE;1
2020-08-03;10 - 19;MA;1
2020-08-03;20 - 29;FE;1
2020-08-03;40 - 49;FE;2
2020-08-03;40 - 49;MA;1
2020-08-03;70 - 79;FE;1
2020-08-04;10 - 19;MA;1
2020-08-04;50 - 59;FE;1
2020-08-04;80 - 89;MA;1
2020-08-05;00 - 09;MA;1
2020-08-05;30 - 39;MA;1
2020-08-06;30 - 39;MA;1
2020-08-07;20 - 29;MA;1
2020-08-07;30 - 39;MA;1
2020-08-08;00 - 09;MA;1
2020-08-08;70 - 79;MA;1
2020-08-09;30 - 39;FE;1
2020-08-09;50 - 59;MA;1
2020-08-10;00 - 09;MA;1
2020-08-10;40 - 49;FE;1
2020-08-10;50 - 59;FE;1
2020-08-10;50 - 59;MA;1
2020-08-11;20 - 29;MA;1
2020-08-11;30 - 39;FE;1
2020-08-11;40 - 49;FE;2
2020-08-11;40 - 49;MA;1
2020-08-11;50 - 59;MA;1
2020-08-11;70 - 79;MA;1
2020-08-12;20 - 29;FE;5
2020-08-12;20 - 29;MA;4
2020-08-12;30 - 39;FE;1
2020-08-12;30 - 39;MA;1
2020-08-12;40 - 49;FE;1
2020-08-12;40 - 49;MA;1
2020-08-13;40 - 49;MA;1
2020-08-13;50 - 59;FE;1
2020-08-13;70 - 79;FE;1
2020-08-13;70 - 79;MA;1
2020-08-14;20 - 29;FE;3
2020-08-14;20 - 29;MA;2
2020-08-14;40 - 49;FE;1
2020-08-14;40 - 49;MA;1
2020-08-14;50 - 59;FE;1
2020-08-14;50 - 59;MA;1
2020-08-14;60 - 69;FE;1
2020-08-14;70 - 79;MA;1
2020-08-15;10 - 19;MA;1
2020-08-15;20 - 29;FE;3
2020-08-15;30 - 39;FE;2
2020-08-15;30 - 39;MA;1
2020-08-15;40 - 49;FE;2
2020-08-15;50 - 59;FE;1
2020-08-15;60 - 69;FE;1
2020-08-16;10 - 19;FE;1
2020-08-16;30 - 39;MA;1
2020-08-16;50 - 59;FE;1
2020-08-17;10 - 19;FE;2
2020-08-17;10 - 19;MA;1
2020-08-17;20 - 29;FE;1
2020-08-17;20 - 29;MA;3
2020-08-17;40 - 49;FE;1
2020-08-17;40 - 49;MA;1
2020-08-18;20 - 29;MA;1
2020-08-18;30 - 39;FE;1
2020-08-18;40 - 49;MA;2
2020-08-18;50 - 59;FE;1
2020-08-18;50 - 59;MA;1
2020-08-19;00 - 09;MA;1
2020-08-19;10 - 19;FE;1
2020-08-19;10 - 19;MA;1
2020-08-19;20 - 29;MA;4
2020-08-19;40 - 49;MA;1
2020-08-19;50 - 59;MA;1
2020-08-20;00 - 09;MA;1
2020-08-20;10 - 19;FE;2
2020-08-20;10 - 19;MA;1
2020-08-20;20 - 29;FE;1
2020-08-20;50 - 59;FE;1
2020-08-21;20 - 29;MA;2
2020-08-21;30 - 39;FE;1
2020-08-21;30 - 39;MA;1
2020-08-21;40 - 49;FE;1
2020-08-21;40 - 49;MA;2
2020-08-21;60 - 69;FE;1
2020-08-21;80 - 89;FE;1
2020-08-22;20 - 29;FE;1
2020-08-22;30 - 39;FE;1
2020-08-22;30 - 39;MA;1
2020-08-22;50 - 59;MA;1
2020-08-24;20 - 29;FE;2
2020-08-24;40 - 49;FE;1
2020-08-24;40 - 49;MA;1
2020-08-25;10 - 19;FE;1
2020-08-25;10 - 19;MA;1
2020-08-25;30 - 39;FE;1
2020-08-25;30 - 39;MA;3
2020-08-26;10 - 19;MA;2
2020-08-26;30 - 39;FE;1
2020-08-26;30 - 39;MA;1
2020-08-26;50 - 59;MA;1
2020-08-27;10 - 19;FE;1
2020-08-27;10 - 19;MA;1
2020-08-27;20 - 29;MA;3
2020-08-27;40 - 49;FE;1
2020-08-27;60 - 69;MA;1
2020-08-27;70 - 79;MA;1
2020-08-28;20 - 29;FE;4
2020-08-28;20 - 29;MA;2
2020-08-28;40 - 49;FE;1
2020-08-28;50 - 59;MA;1
2020-08-29;20 - 29;MA;2
2020-08-29;30 - 39;MA;1
2020-08-31;20 - 29;FE;1
2020-08-31;30 - 39;MA;1
2020-08-31;40 - 49;MA;1
2020-08-31;50 - 59;MA;1
2020-09-01;20 - 29;FE;2
2020-09-01;20 - 29;MA;1
2020-09-01;30 - 39;FE;1
2020-09-02;30 - 39;FE;1
2020-09-03;20 - 29;FE;1
2020-09-03;20 - 29;MA;1
2020-09-03;50 - 59;FE;1
2020-09-03;50 - 59;MA;1
2020-09-03;80 - 89;FE;1
2020-09-03;80 - 89;MA;1
2020-09-04;40 - 49;MA;2
2020-09-04;50 - 59;FE;1
2020-09-05;20 - 29;FE;1
2020-09-05;20 - 29;MA;3
2020-09-05;30 - 39;FE;1
2020-09-06;10 - 19;MA;1
2020-09-06;20 - 29;MA;1
2020-09-06;30 - 39;MA;1
2020-09-06;50 - 59;MA;2
2020-09-07;20 - 29;FE;1
2020-09-07;30 - 39;MA;1
2020-09-08;10 - 19;MA;1
2020-09-08;20 - 29;MA;3
2020-09-08;40 - 49;FE;2
2020-09-08;40 - 49;MA;1
2020-09-08;50 - 59;FE;2
2020-09-08;70 - 79;MA;1
2020-09-09;10 - 19;MA;2
2020-09-09;20 - 29;MA;1
2020-09-09;30 - 39;FE;1
2020-09-09;50 - 59;MA;1
2020-09-10;20 - 29;FE;1
2020-09-11;10 - 19;FE;1
2020-09-11;30 - 39;MA;1
2020-09-11;40 - 49;FE;1
2020-09-11;40 - 49;MA;1
2020-09-12;20 - 29;FE;1
2020-09-12;20 - 29;MA;1
2020-09-12;40 - 49;MA;1
2020-09-13;20 - 29;MA;1
2020-09-13;30 - 39;MA;1
2020-09-14;20 - 29;FE;1
2020-09-14;20 - 29;MA;1
2020-09-15;10 - 19;MA;1
2020-09-15;20 - 29;FE;1
2020-09-15;30 - 39;FE;1
2020-09-15;30 - 39;MA;1
2020-09-15;60 - 69;MA;1
2020-09-16;60 - 69;MA;1
2020-09-17;20 - 29;MA;2
2020-09-17;30 - 39;FE;1
2020-09-17;30 - 39;MA;3
2020-09-17;50 - 59;FE;1
2020-09-17;50 - 59;MA;1
2020-09-18;20 - 29;MA;1
2020-09-19;30 - 39;MA;1
2020-09-19;40 - 49;FE;1
2020-09-20;30 - 39;FE;1
2020-09-20;60 - 69;MA;1
2020-09-21;30 - 39;FE;1
2020-09-21;50 - 59;FE;1
2020-09-23;20 - 29;FE;2
2020-09-23;30 - 39;FE;1
2020-09-24;20 - 29;FE;1
2020-09-24;20 - 29;MA;1
2020-09-24;30 - 39;FE;1
2020-09-25;20 - 29;FE;3
2020-09-25;40 - 49;MA;1
2020-09-25;50 - 59;MA;1
2020-09-26;20 - 29;FE;1
2020-09-26;40 - 49;FE;1
2020-09-28;20 - 29;FE;1
2020-09-28;30 - 39;FE;1
2020-09-28;40 - 49;MA;1
2020-09-29;10 - 19;FE;1
2020-09-29;30 - 39;MA;1
2020-09-29;50 - 59;FE;1
2020-09-30;20 - 29;MA;1
2020-09-30;30 - 39;FE;1
2020-09-30;50 - 59;FE;1
2020-09-30;50 - 59;MA;1
2020-09-30;60 - 69;MA;1
